device_time_stamp,left_gaze_origin_validity,right_gaze_origin_validity,left_gaze_origin_in_user_x,left_gaze_origin_in_user_y,left_gaze_origin_in_user_z,right_gaze_origin_in_user_x,right_gaze_origin_in_user_y,right_gaze_origin_in_user_z,left_gaze_origin_in_trackbox_x,left_gaze_origin_in_trackbox_y,left_gaze_origin_in_trackbox_z,right_gaze_origin_in_trackbox_x,right_gaze_origin_in_trackbox_y,right_gaze_origin_in_trackbox_z,left_gaze_point_validity,right_gaze_point_validity,left_gaze_point_in_user_x,left_gaze_point_in_user_y,left_gaze_point_in_user_z,right_gaze_point_in_user_x,right_gaze_point_in_user_y,right_gaze_point_in_user_z,left_gaze_point_on_display_area_x,left_gaze_point_on_display_area_y,right_gaze_point_on_display_area_x,right_gaze_point_on_display_area_y,left_pupil_validity,right_pupil_validity,left_pupil_diameter,right_pupil_diameter
10784519314,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan
10784530417,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan
10784541520,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan
10784552623,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan
10784563726,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan
10784574830,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan
10784585933,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan
10784597036,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan
10784608139,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan
10784619242,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan
10784630345,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan
10784641448,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan
10784652551,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan
10784663655,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan
10784674758,0,1,nan,nan,nan,-87.1844482421875,60.66118621826172,606.3739013671875,nan,nan,nan,0.7078297138214111,0.3222743272781372,0.4312111735343933,0,1,nan,nan,nan,-319.5513916015625,378.7843933105469,129.82037353515625,nan,nan,-0.018774721771478653,-0.11493638157844543,0,1,nan,4.37554931640625
10784685861,0,1,nan,nan,nan,-87.1844482421875,60.66118621826172,606.3739013671875,nan,nan,nan,0.7078297138214111,0.3222743272781372,0.4312111735343933,0,1,nan,nan,nan,-319.5513916015625,378.7843933105469,129.82037353515625,nan,nan,-0.018774721771478653,-0.11493638157844543,0,1,nan,4.37554931640625
10784696964,0,1,nan,nan,nan,-87.1844482421875,60.66118621826172,606.3739013671875,nan,nan,nan,0.7078297138214111,0.3222743272781372,0.4312111735343933,0,1,nan,nan,nan,-319.5513916015625,378.7843933105469,129.82037353515625,nan,nan,-0.018774721771478653,-0.11493638157844543,0,1,nan,4.37554931640625
10784708067,0,1,nan,nan,nan,-87.18157958984375,60.6798095703125,606.572509765625,nan,nan,nan,0.7077557444572449,0.3222793936729431,0.4316052198410034,0,1,nan,nan,nan,-317.73919677734375,387.5289611816406,133.00315856933594,nan,nan,-0.015823908150196075,-0.14187513291835785,0,1,nan,4.4073333740234375
10784719170,0,1,nan,nan,nan,-87.18157958984375,60.6798095703125,606.572509765625,nan,nan,nan,0.7077557444572449,0.3222793936729431,0.4316052198410034,0,1,nan,nan,nan,-317.73919677734375,387.5289611816406,133.00315856933594,nan,nan,-0.015823908150196075,-0.14187513291835785,0,1,nan,4.4073333740234375
10784730273,0,1,nan,nan,nan,-87.18157958984375,60.6798095703125,606.572509765625,nan,nan,nan,0.7077557444572449,0.3222793936729431,0.4316052198410034,0,1,nan,nan,nan,-317.73919677734375,387.5289611816406,133.00315856933594,nan,nan,-0.015823908150196075,-0.14187513291835785,0,1,nan,4.4073333740234375
10784741376,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan
10784752480,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan
10784763583,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan
10784774686,0,1,nan,nan,nan,-87.14579010009766,60.57712936401367,606.6127319335938,nan,nan,nan,0.7076609134674072,0.32261571288108826,0.4316541850566864,0,1,nan,nan,nan,-319.34832763671875,379.9877624511719,130.2583770751953,nan,nan,-0.018444163724780083,-0.11864357441663742,0,1,nan,4.407958984375
10784785789,0,1,nan,nan,nan,-87.14579010009766,60.57712936401367,606.6127319335938,nan,nan,nan,0.7076609134674072,0.32261571288108826,0.4316541850566864,0,1,nan,nan,nan,-319.34832763671875,379.9877624511719,130.2583770751953,nan,nan,-0.018444163724780083,-0.11864357441663742,0,1,nan,4.407958984375
10784796892,0,1,nan,nan,nan,-87.14579010009766,60.57712936401367,606.6127319335938,nan,nan,nan,0.7076609134674072,0.32261571288108826,0.4316541850566864,0,1,nan,nan,nan,-319.34832763671875,379.9877624511719,130.2583770751953,nan,nan,-0.018444163724780083,-0.11864357441663742,0,1,nan,4.407958984375
10784807995,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan
10784819098,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan
10784830201,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan
10784841305,0,1,nan,nan,nan,-87.29397583007812,60.894535064697266,606.743896484375,nan,nan,nan,0.7079566717147827,0.3216564655303955,0.43201708793640137,0,1,nan,nan,nan,-304.3228454589844,373.04583740234375,127.731689453125,nan,nan,0.006022481247782707,-0.09725823253393173,0,1,nan,4.35723876953125
10784852408,0,1,nan,nan,nan,-87.29397583007812,60.894535064697266,606.743896484375,nan,nan,nan,0.7079566717147827,0.3216564655303955,0.43201708793640137,0,1,nan,nan,nan,-304.3228454589844,373.04583740234375,127.731689453125,nan,nan,0.006022481247782707,-0.09725823253393173,0,1,nan,4.35723876953125
10784863511,0,1,nan,nan,nan,-87.29397583007812,60.894535064697266,606.743896484375,nan,nan,nan,0.7079566717147827,0.3216564655303955,0.43201708793640137,0,1,nan,nan,nan,-304.3228454589844,373.04583740234375,127.731689453125,nan,nan,0.006022481247782707,-0.09725823253393173,0,1,nan,4.35723876953125
10784874614,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan
10784885717,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan
10784896820,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan
10784907923,0,1,nan,nan,nan,-87.3153076171875,60.729827880859375,606.8809204101562,nan,nan,nan,0.7079657316207886,0.3222159445285797,0.4322606325149536,0,1,nan,nan,nan,-313.7367858886719,373.39837646484375,127.86006927490234,nan,nan,-0.009306633844971657,-0.09834441542625427,0,1,nan,4.376983642578125
10784919026,0,1,nan,nan,nan,-87.3153076171875,60.729827880859375,606.8809204101562,nan,nan,nan,0.7079657316207886,0.3222159445285797,0.4322606325149536,0,1,nan,nan,nan,-313.7367858886719,373.39837646484375,127.86006927490234,nan,nan,-0.009306633844971657,-0.09834441542625427,0,1,nan,4.376983642578125
10784930130,0,1,nan,nan,nan,-87.3153076171875,60.729827880859375,606.8809204101562,nan,nan,nan,0.7079657316207886,0.3222159445285797,0.4322606325149536,0,1,nan,nan,nan,-313.7367858886719,373.39837646484375,127.86006927490234,nan,nan,-0.009306633844971657,-0.09834441542625427,0,1,nan,4.376983642578125
10784941233,0,1,nan,nan,nan,-87.18312072753906,60.76109313964844,606.8919067382812,nan,nan,nan,0.707649827003479,0.3221264183521271,0.4322509765625,0,1,nan,nan,nan,-314.04473876953125,377.78753662109375,129.45755004882812,nan,nan,-0.009808085858821869,-0.1118655577301979,0,1,nan,4.39349365234375
