type,start_time,end_time,duration,size,angular_velocities,positionLeft,positionRight
saccade,1720.985,1787.603,66.61800000000017,7,"[48.53176660603845, 48.53176660603845, 60.87282527275622, 62.121943272808515, 95.0353778948375, 76.12975256550087, 27.33845009541141]","[[0.2106634080410003, 0.8911048769950867], [0.2106634080410003, 0.8911048769950867], [0.1197811365127563, 0.881610631942749], [0.1153041124343872, 0.8899021744728088], [0.1162092015147209, 0.8975249528884888], [0.1119835302233696, 0.8974049091339111], [0.1108420267701149, 0.892590343952179]]","[[0.2332443743944168, 0.874943196773529], [0.2332443743944168, 0.874943196773529], [0.1331579685211181, 0.8613772988319397], [0.1340747475624084, 0.8611717820167542], [0.1317716985940933, 0.8634739518165588], [0.1312581002712249, 0.8607090711593628], [0.1273628175258636, 0.8612192273139954]]"
saccade,1798.706,2009.666,210.96000000000004,20,"[29.379035593198555, 29.379035593198555, 28.283266992656262, 27.11253142941068, 44.816089730895854, 42.84426994233401, 39.21462466311175, 47.005802165600755, 52.71893173005893, 47.34698083892246, 54.491992838607, 48.23425265044219, 38.748916802535355, 37.1356163325683, 33.401323482404436, 25.833892595269923, 52.35515396507473, 42.871812996180665, 43.921591409485366, 25.517150356386903]","[[0.1143928915262222, 0.8918662071228027], [0.1143928915262222, 0.8918662071228027], [0.1156146600842475, 0.891493558883667], [0.1134029254317283, 0.8926015496253967], [0.1140225306153297, 0.8923550844192505], [0.1131393387913703, 0.8927922248840332], [0.1141092181205749, 0.8900495171546936], [0.1128017455339431, 0.8923279047012329], [0.1118272542953491, 0.8937219381332397], [0.1109241694211959, 0.8918396830558777], [0.1117844656109809, 0.8917805552482605], [0.1140231937170028, 0.8898279070854187], [0.1146095171570777, 0.8878260254859924], [0.1160170957446098, 0.88641756772995], [0.1044651344418525, 0.8870183825492859], [0.0805843248963356, 0.8798320293426514], [0.0621444098651409, 0.8751222491264343], [0.0549560859799385, 0.8704159259796143], [0.0602672733366489, 0.8763306140899658], [0.0560305193066597, 0.8765532970428467]]","[[0.1303778439760208, 0.8691271543502808], [0.1303778439760208, 0.8691271543502808], [0.1282979846000671, 0.8706566691398621], [0.1273957043886184, 0.8691747188568115], [0.1270704120397567, 0.866883397102356], [0.1246878057718277, 0.8682829141616821], [0.1254734545946121, 0.8695676326751709], [0.1222369596362114, 0.8678997755050659], [0.1242109090089798, 0.8675118088722229], [0.1219726875424385, 0.8667608499526978], [0.1254007369279861, 0.8702573180198669], [0.1253583431243896, 0.8701962828636169], [0.123776264488697, 0.8699111342430115], [0.12224892526865, 0.8672541379928589], [0.1115495264530181, 0.8646427392959595], [0.0900463908910751, 0.8568316698074341], [0.0679063871502876, 0.8480778336524963], [0.0545303188264369, 0.8446358442306519], [0.0572258830070495, 0.841947615146637], [0.0577314756810665, 0.8467540144920349]]"
fixation,2020.769,2031.872,11.103000000000065,2,"[17.451900898714594, 17.451900898714594]","[[0.0535871013998985, 0.8792104721069336], [0.0535871013998985, 0.8792104721069336]]","[[0.0573364943265914, 0.8500921726226807], [0.0573364943265914, 0.8500921726226807]]"
saccade,2042.975,2054.078,11.103000000000065,2,"[20.790940758431802, 20.790940758431802]","[[0.0546680986881256, 0.8830575346946716], [0.0546680986881256, 0.8830575346946716]]","[[0.0574713759124279, 0.8526591062545776], [0.0574713759124279, 0.8526591062545776]]"
saccade,2065.181,2087.388,22.20699999999988,3,"[26.237250774055717, 26.237250774055717, 23.389245923370314]","[[0.0557629279792308, 0.8761462569236755], [0.0557629279792308, 0.8761462569236755], [0.057286862283945, 0.8704290390014648]]","[[0.0588063970208168, 0.8499984741210938], [0.0588063970208168, 0.8499984741210938], [0.0590705797076225, 0.8475341796875]]"
saccade,2098.491,2220.625,122.13400000000001,12,"[25.31515751044836, 25.31515751044836, 25.988782555461682, 22.989925293021372, 38.00950332414944, 31.310845461399794, 26.784547522722608, 27.001527833013714, 24.370388833257145, 21.236981062338334, 29.253295676752987, 25.1232544497054]","[[0.0561164356768131, 0.8738999366760254], [0.0561164356768131, 0.8738999366760254], [0.0553694069385528, 0.8797411918640137], [0.0588035061955452, 0.8776832222938538], [0.0616128668189048, 0.8759251832962036], [0.059816587716341, 0.8743000626564026], [0.054460734128952, 0.87945955991745], [0.0521648824214935, 0.8778172731399536], [0.052570354193449, 0.8787223696708679], [0.0527487881481647, 0.8765596747398376], [0.0562711134552955, 0.8774440884590149], [0.0579478368163108, 0.8785184621810913]]","[[0.052903015166521, 0.8435666561126709], [0.052903015166521, 0.8435666561126709], [0.0548128224909305, 0.8455154895782471], [0.0544048994779586, 0.8516603708267212], [0.0552810840308666, 0.8532791137695312], [0.0507040284574031, 0.8580280542373657], [0.0538804233074188, 0.8592007756233215], [0.0518399998545646, 0.8530540466308594], [0.053117599338293, 0.8450755476951599], [0.0519644208252429, 0.8372189998626709], [0.0536992475390434, 0.8463462591171265], [0.0547513291239738, 0.8475165367126465]]"
saccade,2231.728,2242.831,11.103000000000065,2,"[22.992768338528588, 22.992768338528588]","[[0.0574861727654933, 0.8823160529136658], [0.0574861727654933, 0.8823160529136658]]","[[0.0546895526349544, 0.8511959314346313], [0.0546895526349544, 0.8511959314346313]]"
fixation,2253.935,2265.038,11.103000000000065,2,"[14.28571882394392, 14.28571882394392]","[[0.0548109374940395, 0.8729249835014343], [0.0548109374940395, 0.8729249835014343]]","[[0.0424369387328624, 0.8486433625221252], [0.0424369387328624, 0.8486433625221252]]"
saccade,2276.141,2287.244,11.103000000000065,2,"[20.364355316484357, 20.364355316484357]","[[0.0237881001085042, 0.8469952344894409], [0.0237881001085042, 0.8469952344894409]]","[[0.0152589622884988, 0.812111496925354], [0.0152589622884988, 0.812111496925354]]"
saccade,2298.347,2320.553,22.205999999999676,3,"[50.53892563495066, 50.53892563495066, 21.88465289491134]","[[0.0203557796776294, 0.8471670746803284], [0.0203557796776294, 0.8471670746803284], [0.0172386355698108, 0.8459727764129639]]","[[0.0104652373120188, 0.8076918125152588], [0.0104652373120188, 0.8076918125152588], [0.0075653935782611, 0.8082443475723267]]"
saccade,2331.656,2409.378,77.72200000000021,8,"[34.35651750615994, 34.35651750615994, 31.50910631599541, 34.20429290176295, 55.091501564537566, 35.540235596399135, 80.11608264313863, 114.93820545709117]","[[0.0190616082400083, 0.8429158926010132], [0.0190616082400083, 0.8429158926010132], [0.0191611666232347, 0.8427034616470337], [0.0224888622760772, 0.8461683392524719], [0.0209277104586362, 0.8431012630462646], [0.0333390124142169, 0.8450254201889038], [0.0324630923569202, 0.8414429426193237], [0.033069372177124, 0.839680016040802]]","[[0.0036291885189712, 0.8033989071846008], [0.0036291885189712, 0.8033989071846008], [0.0040874849073588, 0.8054627776145935], [0.0027947826310992, 0.8103392720222473], [0.0070224702358245, 0.8102731704711914], [0.0069430181756615, 0.8098189234733582], [0.0098095461726188, 0.8045703768730164], [0.0088759399950504, 0.8116249442100525]]"
saccade,2420.481,2675.853,255.37199999999984,24,"[140.53957976256933, 140.53957976256933, 154.06762802546365, 34.20682802733622, 56.550190778463694, 84.42470129462122, 79.40517888444234, 69.65372357599196, 30.173948491437237, 48.6004973343207, 50.37643778452046, 82.57443680813984, 96.58603288917973, 129.07364090776423, 59.79908340643435, 63.82410055289596, 45.21301572328112, 48.5233222271276, 73.75479949470012, 70.78564303831345, 107.08911445839558, 82.61883254422943, 110.20266318568741, 38.6951046500548]","[[0.0325674377381801, 0.8452494740486145], [0.0325674377381801, 0.8452494740486145], [0.0279673356562852, 0.8533673882484436], [0.0206363275647163, 0.8450350165367126], [0.0185922235250473, 0.8447398543357849], [0.0213855821639299, 0.8400242328643799], [0.0209800731390714, 0.8425115942955017], [0.0253643486648798, 0.8434697985649109], [0.0257060378789901, 0.8443390130996704], [0.0327431932091712, 0.8436225652694702], [0.0331913493573665, 0.841095507144928], [0.0346626713871955, 0.8424016833305359], [0.0291450973600149, 0.849881649017334], [0.028753388673067, 0.8513486385345459], [0.0290821455419063, 0.8493824601173401], [0.0378301367163658, 0.8515737652778625], [0.0444496758282184, 0.8562287092208862], [0.0445290319621562, 0.8629599809646606], [0.0436836816370487, 0.8697131872177124], [0.0442344844341278, 0.8700364232063293], [0.04466487839818, 0.8722087740898132], [0.0471639595925807, 0.8640625476837158], [0.0445562563836574, 0.8641390204429626], [0.0450974404811859, 0.862838864326477]]","[[0.0151737974956631, 0.8149031400680542], [0.0151737974956631, 0.8149031400680542], [0.0130334487184882, 0.8133445382118225], [0.0065700532868504, 0.8169826865196228], [0.0074701607227325, 0.8129910230636597], [0.004880977794528, 0.8111969232559204], [0.0037222588434815, 0.8146817684173584], [0.0059752473607659, 0.8182905316352844], [0.0079602524638175, 0.8150554895401001], [0.0103848865255713, 0.8099867701530457], [0.0047829928807914, 0.8083594441413879], [0.0055166860111057, 0.80995774269104], [0.0067972601391375, 0.8086308240890503], [0.0085044503211975, 0.8123601675033569], [0.0106546590104699, 0.811342716217041], [0.0188888404518365, 0.8202571868896484], [0.0265104733407497, 0.832400381565094], [0.0320505052804946, 0.8449536561965942], [0.0323195867240428, 0.8463295102119446], [0.0337409824132919, 0.840354859828949], [0.0345552861690521, 0.8362846374511719], [0.0326486267149448, 0.8294506669044495], [0.0286984033882617, 0.8285784721374512], [0.0292030964046716, 0.8227797150611877]]"
fixation,2686.956,2698.06,11.103999999999814,2,"[7.518194080624567, 7.518194080624567]","[[0.04160076379776, 0.8670827746391296], [0.04160076379776, 0.8670827746391296]]","[[0.0280291810631752, 0.8299772143363953], [0.0280291810631752, 0.8299772143363953]]"
saccade,2709.163,2775.781,66.61799999999994,7,"[20.17158719394515, 20.17158719394515, 20.16800281108663, 29.114641907228656, 31.09666338688067, 38.63966888208228, 37.45776268390855]","[[0.0415798388421535, 0.8715848326683044], [0.0415798388421535, 0.8715848326683044], [0.0439774915575981, 0.8680795431137085], [0.045343093574047, 0.8711095452308655], [0.0450535714626312, 0.8742526173591614], [0.0436431467533111, 0.8728858232498169], [0.0439586341381073, 0.8681830167770386]]","[[0.0293010883033275, 0.8309265375137329], [0.0293010883033275, 0.8309265375137329], [0.0303216930478811, 0.8381156921386719], [0.0306141674518585, 0.842759907245636], [0.0298517756164073, 0.8430677056312561], [0.027850741520524, 0.8391746878623962], [0.0260624773800373, 0.8395248651504517]]"
